標題,來源
80 kDa人類精子抗原蛋白在臺灣梅花鹿（Cervus nippon taiouanus）睪丸組織的表現及應用於梅花鹿生育控制之評估,《中國畜牧學會會誌》
野放梅花鹿族群對墾丁高位珊瑚礁森林之初步影響,《林業研究專訊》
墾丁地區台灣梅花鹿（Cervus nippon taiouanus）農損分布與防治圍欄之評估,《台灣生物多樣性研究》
臺灣梅花鹿的前世今生,《臺灣博物季刊》
畜養牡台灣梅花鹿及牡台灣水鹿之生殖性狀分析：以直腸電刺激採精法進行精液性狀評估,《臺灣獸醫學雜誌》
圍籬排除梅花鹿啃食對墾丁高位珊瑚礁森林樹苗群落更新的影響,《台灣林業科學》
墾丁國家公園台灣梅花鹿（Cervus nippon taiouanus）啃剝樹皮及其對當地林木之影響,《師大生物學報》
稀釋液對臺灣梅花鹿精液冷凍解凍後性狀之影響,《畜產研究》
臺灣梅花鹿類緣關係與族群之分子遺傳結構研究,國立臺灣大學動物科學技術學系學位論文
台灣梅花鹿磨角行為對墾丁高位珊瑚礁森林樹木的危害,《台灣林業科學》
牡臺灣梅花鹿生殖性狀之季節性變化,《畜產研究》
以紅外線自動相機初探馬祖大坵島臺灣梅花鹿復育族群生息現況,《臺灣博物季刊》
墾丁高位珊瑚礁自然保留區以電圍網防阻梅花鹿之初步成效評估,《林業研究專訊》
墾丁國家公園台灣梅花鹿（Cervus nippon taiouanus）磨樹及其對當地林木之影響,《師大生物學報》
以非侵入性檢測法評估施打GnRH節育疫苗後梅花鹿助孕素於血清及糞便中之相關性,《國家公園學報》
墾丁高位珊瑚礁自然保留區內皮孫木遭梅花鹿啃食環剝之因應措施,《林業研究專訊》
梅花鹿再引入後的空間現象：墾丁礁林與次生林的覓食棲地選擇,《華岡農科學報》
社頂地區台灣梅花鹿之食性初探,《師大生物學報》
台灣梅花鹿的採食行為及其與季節之關係,《師大生物學報》
Short Communication: Malignant Catarrhal Fever Associated with Caprine Herpesvirus-2 Infection in Captive Formosan Sika Deer (Cervus Nippon Taiouanus) in Taiwan,《臺灣獸醫學雜誌》
利用G顯帶和螢光原位雜交技術比較台灣特有鹿科動物間之核型差異,中山醫學大學生物醫學科學學系碩士班學位論文
梅花鹿鹿茸改善骨質疏鬆活性研究,臺北醫學大學生藥學研究所學位論文
梅花鹿鹿茸免疫調節之研究,臺北醫學大學醫學科學研究所學位論文
森林獸害－恆春熱帶植物園的鹿口求生搶救計畫,《林業研究專訊》
鹿仔樹,《海翁台語文學》
公園有鹿,《海翁台語文學》
以中華雙蓋蕨在墾丁的興衰枯榮，作為國家植物園方舟計畫的見證,《林業研究專訊》
苗栗農業特色小巨人－紅麋鹿,《畜產專訊》
母語,《海翁台語文學》
台中南勢坑遺址的生業形態：鹿科動物遺留分析,國立暨南國際大學東南亞學系人類學碩士班學位論文
